id,retweet_count,favorite_count
850380195714523136,2316,12002
850333567704068097,301,3173
850145622816686080,3369,14948
850019790995546112,4335,18664
849776966551130114,6778,27778
849668094696017920,4419,0
849412302885593088,2810,14593
849336543269576704,1676,10497
849051919805034497,7576,38781
848690551926992896,3902,23139
848324959059550208,4121,22697
848213670039564288,643,7508
848212111729840128,2703,14956
847978865427394560,2903,0
847971574464610304,394,0
847962785489326080,4541,21640
847842811428974592,1184,4988
847617282490613760,376,6443
847606175596138505,3066,17275
847251039262605312,3889,18854
847157206088847362,5223,18274
847116187444137987,2864,19780
846874817362120707,3526,18523
846514051647705089,10312,40934
846505985330044928,2746,13004
846153765933735936,8118,28902
846139713627017216,9119,28655
846042936437604353,2573,14728
845812042753855489,7825,26863
845677943972139009,4361,23305
845397057150107648,1612,7039
845306882940190720,4828,21494
845098359547420673,6899,0
844979544864018432,2302,12605
844973813909606400,2833,13856
844580511645339650,2799,15212
844223788422217728,1979,12648
843981021012017153,2689,14041
843856843873095681,4145,19849
843604394117681152,2469,15613
843235543001513987,5369,19852
842846295480000512,3303,14151
842765311967449089,1173,6267
842535590457499648,3158,16821
842163532590374912,5226,22605
842115215311396866,2739,12968
841833993020538882,13478,0
841680585030541313,7113,23913
841439858740625411,3289,11664
841320156043304961,4995,18322
841314665196081154,4211,14670
841077006473256960,4868,21241
840761248237133825,1613,0
840728873075638272,14519,0
840698636975636481,2,163
840696689258311684,887,11414
840632337062862849,1613,8377
840370681858686976,4158,15259
840268004936019968,5183,17777
839990271299457024,2058,12473
839549326359670784,7024,25437
839290600511926273,131,0
839239871831150596,5897,25073
838952994649550848,3647,18266
838921590096166913,1848,10370
838916489579200512,31,0
838831947270979586,9963,0
838561493054533637,1226,10199
838476387338051585,4320,20852
838201503651401729,9125,0
838150277551247360,300,1561
838085839343206401,1,133
838083903487373313,2825,16372
837820167694528512,7118,31668
837482249356513284,402,3582
837471256429613056,2056,11926
837110210464448512,2171,14998
836989968035819520,2102,11876
836753516572119041,4239,18025
836677758902222849,2014,11775
836648853927522308,505,0
836397794269200385,24907,0
836380477523124226,2735,13838
836260088725786625,3959,19826
836001077879255040,3864,17776
835685285446955009,7376,0
835574547218894849,3277,16554
835536468978302976,1536,0
835309094223372289,19024,0
835297930240217089,2728,15363
835264098648616962,1536,7180
835246439529840640,63,1983
835172783151792128,5274,24443
835152434251116546,2748,20827
834931633769889797,1482,10052
834786237630337024,5087,20101
834574053763584002,2298,12743
834477809192075265,9707,0
834458053273591808,1539,8984
834209720923721728,4301,19150
834167344700198914,3344,14776
834089966724603904,1957,9394
834086379323871233,2031,12177
833863086058651648,2193,12552
833826103416520705,3470,16994
833732339549220864,202,0
833722901757046785,2979,19578
833479644947025920,1876,13930
833124694597443584,4419,18885
832998151111966721,1997,12366
832769181346996225,38,0
832757312314028032,3301,15765
832682457690300417,2646,11085
832645525019123713,482,2717
832636094638288896,2537,14818
832397543355072512,2030,11194
832369877331693569,2903,15997
832273440279240704,2131,10593
832215909146226688,5685,0
832215726631055365,8534,0
832088576586297345,2,58
832040443403784192,8756,0
832032802820481025,4275,16664
831939777352105988,5626,22351
831926988323639298,34,319
831911600680497154,5934,25698
831670449226514432,1678,9745
831650051525054464,1781,6648
831552930092285952,2144,8403
831322785565769729,1433,8719
831315979191906304,1033,6152
831309418084069378,2247,11032
